"crypto","usd","usd_market_cap","usd_24h_vol","usd_24h_change","last_updated_at","id","load_date"
ethereum,2437.47,282946892459.813,49415828295.97667,-3.5220197677878318,1622357959,86,"2021-05-30 00:00:04"
bitcoin,35938.0,672815776265.2542,45231141017.8813,-1.8066541525569044,1622357888,87,"2021-05-30 00:00:04"
dogecoin,0.308575,40057072550.907745,3400352446.535763,-1.0245167962993968,1622357995,88,"2021-05-30 00:00:04"
bitcoin,36128.0,676388319303.0214,45994880488.578636,-0.4131078570624911,1622361526,89,"2021-05-30 01:00:10"
ethereum,2457.6,285285915682.2504,50467865721.24598,-1.5663083881286823,1622361599,90,"2021-05-30 01:00:10"
litecoin,176.43,11776838772.252691,5822404101.320888,-2.3229538078973344,1622361518,91,"2021-05-30 01:00:10"
dogecoin,0.308184,40006282982.511955,3454495380.42575,-0.9506457687724065,1622361527,92,"2021-05-30 01:00:10"
litecoin,175.65,11696069698.042036,5750153506.464764,-0.379723702938435,1622365157,93,"2021-05-30 02:00:03"
bitcoin,35806.0,669721247432.0436,44650385120.05848,0.11616212728012085,1622365136,94,"2021-05-30 02:00:03"
ethereum,2437.49,282452722514.4661,50523911823.24086,-0.7988023654860911,1622365106,95,"2021-05-30 02:00:03"
dogecoin,0.304411,39451113486.45475,3439635680.9812117,-1.0762313983087728,1622365162,96,"2021-05-30 02:00:03"
ethereum,2434.71,282048523936.557,50105315437.34207,-0.2416046733641351,1622368786,97,"2021-05-30 03:00:05"
bitcoin,36034.0,674631136878.4575,44672891104.53928,1.5892780974385248,1622368697,98,"2021-05-30 03:00:05"
litecoin,176.58,11787114460.46003,5683242454.760589,1.5025895591164276,1622368701,99,"2021-05-30 03:00:05"
dogecoin,0.30634,39766897786.1374,3417361022.515026,0.2769046989147738,1622368755,100,"2021-05-30 03:00:05"
ethereum,2412.45,281247839136.82983,50051137343.99154,-0.7717222359612155,1622372254,101,"2021-05-30 04:00:03"
bitcoin,35793.0,670111130341.8208,43136446370.69804,1.5116947303930164,1622372341,102,"2021-05-30 04:00:03"
litecoin,175.63,11723527935.948164,5602150314.389043,1.4865044954586741,1622372285,103,"2021-05-30 04:00:03"
dogecoin,0.304403,39515518141.52225,3371881049.8235984,-0.07180226883976157,1622372341,104,"2021-05-30 04:00:03"
ethereum,2441.56,281005972003.39014,50197893180.47122,-0.049273751532789456,1622375981,105,"2021-05-30 05:00:04"
bitcoin,36307.0,679735125756.9023,43877801210.77413,2.3865336987165433,1622375993,106,"2021-05-30 05:00:04"
dogecoin,0.306858,39834233985.98215,3345263930.12946,1.4375426567597323,1622375985,107,"2021-05-30 05:00:04"
litecoin,178.68,11927295777.693771,5632105822.356613,2.7981430389551547,1622375937,108,"2021-05-30 05:00:04"
