"crypto","usd","usd_market_cap","usd_24h_vol","usd_24h_change","last_updated_at","id","load_date"
bitcoin,36767.0,687723836023.1731,42875576462.655396,-0.6867920070281058,1623383941,1227,"2021-06-10 21:00:03"
bitcoin,37012.0,691992193174.5962,43069869019.79437,0.44358636087441183,1623387582,1231,"2021-06-10 22:00:03"
bitcoin,37189.0,696621072040.4854,43261248766.70542,1.0561471558137994,1623391174,1234,"2021-06-10 23:00:03"
bitcoin,36712.0,687703194975.9451,41778062762.90815,-0.3928702445737106,1623394776,1239,"2021-06-11 00:00:04"
bitcoin,37175.0,697873339975.2264,43599965319.359924,0.5402045198187454,1623398390,1241,"2021-06-11 01:00:04"
bitcoin,37155.0,696308302857.9497,43581688910.490845,1.9876321492438478,1623401968,1245,"2021-06-11 02:00:03"
bitcoin,37267.0,698846409435.3054,42976432904.46215,-1.3277709517094518,1623405499,1250,"2021-06-11 03:00:04"
bitcoin,37267.0,698846409435.3054,42976432904.46215,-1.3277709517094518,1623405499,1254,"2021-06-11 04:00:03"
bitcoin,37429.0,701122670341.3367,39456258198.59685,-1.2957967102594448,1623412785,1260,"2021-06-11 05:00:04"
bitcoin,37475.0,701996569024.8169,39234717839.16456,-1.5467096127477227,1623416398,1263,"2021-06-11 06:00:08"
bitcoin,37544.0,703290604535.3893,39153716209.167244,-1.311757266379483,1623419986,1268,"2021-06-11 07:00:03"
bitcoin,37340.0,699464030563.2552,37939680741.05686,0.6292579390442028,1623423581,1270,"2021-06-11 08:00:11"
bitcoin,36999.0,693075106058.7723,37230519398.327286,0.4800143879004226,1623427191,1273,"2021-06-11 09:00:20"
bitcoin,36680.0,687100196578.2783,36642647503.35935,-0.4898352336853996,1623430786,1277,"2021-06-11 10:00:07"
bitcoin,37033.0,692342748454.3198,36202871232.52952,1.4105958420910965,1623434386,1283,"2021-06-11 11:00:06"
bitcoin,37097.0,694917053842.1631,35955354910.657875,1.2614367402154842,1623437966,1286,"2021-06-11 12:00:08"
bitcoin,37295.0,699361520180.7529,36226960788.92382,1.1969167451544138,1623441565,1292,"2021-06-11 13:00:04"
bitcoin,37452.0,701566388997.784,35542764988.61085,2.553355262167446,1623445176,1295,"2021-06-11 14:00:18"
bitcoin,36953.0,692228347331.8179,35290468339.99697,0.6241626838731407,1623448791,1297,"2021-06-11 15:00:07"
bitcoin,37400.0,700589518886.7024,35031615419.19699,1.5512873006251724,1623452395,1304,"2021-06-11 16:00:04"
bitcoin,37289.0,698528023663.5321,36358044262.709755,1.6295954030117576,1623455973,1308,"2021-06-11 17:00:18"
bitcoin,37055.0,695649759359.0876,35066750418.689575,1.1899910345561677,1623459590,1311,"2021-06-11 18:00:03"
bitcoin,36377.0,681429224516.976,36063017351.52197,-0.15571010594900822,1623463183,1315,"2021-06-11 19:00:03"
bitcoin,35931.0,673941006728.5541,37041490914.241356,-1.2170022136617535,1623466779,1319,"2021-06-11 20:00:03"
bitcoin,35583.0,666563524825.9537,37328252302.29218,-3.3002855611655257,1623470360,1321,"2021-06-11 21:00:04"
